feature_number,common_name,exr_draft_pangsmm,Lr_rodentium,Lr_suis,Lr_murium,Lr_porcinus,Lr_kinnaridis,Lr_reuteri
1,d-ribose,EX_rib__D_e,1,1,1,1,1,1
2,d-galactose,EX_gal_e,1,1,1,1,1,1
3,d-glucose,EX_glc__D_e,1,1,1,1,1,1
4,maltose,EX_malt_e,1,1,1,1,1,1
5,lactose,EX_lcts_e,1,1,1,1,1,1
6,melibiose,EX_melib_e,1,1,1,1,1,1
7,sucrose,EX_sucr_e,1,1,1,1,1,1
8,raffinose,EX_raffin_e,1,1,1,1,1,1
9,potassium gluconate (EX_glcn_e),EX_glcn__D_e,1,0,0.5,1,1,0.5
10,l-arabinose,EX_arab__L_e,0.5,1,1,0,0.5,1
11,d-xylose,EX_xyl__D_e,0.5,1,0,0,0,0
12,d-fructose,EX_fru_e,0,0,0,0,0,0
13,d-mannose,-,0,0,0,0,0,0
14,methyl α-d-glucopyranoside,EX_madg_e,0,0,0,0.5,0.5,0
15,aesculin,-,0,0,0,0,0,0
16,glycerol,EX_glyc_e,0,0,0,0,0,0
17,erythritol,-,0,0,0,0,0,0
18,d-arabinose,-,0,0,0,0,0,0
19,l-xylose,-,0,0,0,0,0,0
20,d-adonitol,-,0,0,0,0,0,0
21,methyl β-d-xylopyranoside,-,0,0,0,0,0,0
22,l-sorbose,-,0,0,0,0,0,0
23,l-rhamnose,-,0,0,0,0,0,0
24,dulcitol,-,0,0,0,0,0,0
25,inositol,EX_inost_e,0,0,0,0,0,0
26,d-mannitol,EX_mnl_e,0,0,0,0,0,0
27,d-sorbitol,EX_sbt__D_e,0,0,0,0,0,0
28,methyl α-d-mannopyranoside,-,0,0,0,0,0,0
29,N-acetylglucosamine,EX_acgam_e,0,0,0,0,0,0
30,amygdalin,-,0,0,0,0,0,0
31,arbutin,EX_arbt_e,0,0,0,0,0,0
32,salicin,EX_salcn_e,0,0,0,0,0,0
33,cellobiose,EX_cellb_e,0,0,0,0,0,0
34,trehalose,EX_tre_e,0,0,0,0,0,0
35,inulin,-,0,0,0,0,0,0
36,melezitose,-,0,0,0,0,0,0
37,starch,-,0,0,0,0,0,0
38,glycogen,-,0,0,0,0,0,0
39,xylitol,-,0,0,0,0,0,0
40,gentiobiose,-,0,0,0,0,0,0
41,turanose,-,0,0,0,0,0.5,0
42,d-lyxose,-,0,0,0,0,0,0
43,d-tagatose,-,0,0,0,0,0,0
44,d-fucose,-,0,0,0,0,0,0
45,l-fucose,-,0,0,0,0,0,0
46,d-arabitol,-,0,0,0,0,0,0
47,l-arabitol,-,0,0,0,0,0,0
48,potassium 2-ketogluconate,-,0,0,0,0,0,0
49,potassium 5-ketogluconate,-,0,0,0,0,0,0
